objectid,parentid,filename,title,creator,date,archival date,description,subject,location,latitude,longitude,source,identifier,type,format_original,format,finding aid,digital collection,contributing institution,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
cnr001,,ug92_box1_folder8_collegeforest1977.pdf,The College Forest,"Pitkin, Franklin H.;Ehrenreich, John H. ",1977,1977,A publication by the University of Idaho about the College Forest. ,natural resources; forestry; people in agriculture or natural resource occupations; logging; black-and-white photographs; color photographs; rangeland; gardening; farming (activity or system); nature trails; sustainability; environmental engineering; conservation concepts; cultural landscapes/property/heritage; forestry maps; lumber; experiment stations; forest management; forest stations; history of conservation; college students; professors (teachers) ,,,,"College of Natural Resources collection, UG 92, University of Idaho Library Special Collections and Archives",ug92_box1_folder8_collegeforest1977,Text,document,application/pdf,,College of Natural Resources collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/cnr/ug92_box1_folder8_collegeforest1977.pdf,https://www.lib.uidaho.edu/digital/objects/cnr/small/ug92_box1_folder8_collegeforest1977_sm.jpg,https://www.lib.uidaho.edu/digital/objects/cnr/thumbs/ug92_box1_folder8_collegeforest1977_th.jpg
cnr002,,ug92_box1_folder8_planningfuture1979.pdf,Planning an efficient future in education and research,"Ehrenreich, John H.",1979,1979,"A publication by the University of Idaho about a proposed annex for the College of Foretry, Wildlife and Range Sciences building. ",natural resources; forestry; buildings for university or college; college buildings ,,,,"College of Natural Resources collection, UG 92, University of Idaho Library Special Collections and Archives",ug92_box1_folder8_planningfuture1979,Text,document,application/pdf,,College of Natural Resources collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/cnr/ug92_box1_folder8_planningfuture1979.pdf,https://www.lib.uidaho.edu/digital/objects/cnr/small/ug92_box1_folder8_planningfuture1979_sm.jpg,https://www.lib.uidaho.edu/digital/objects/cnr/thumbs/ug92_box1_folder8_planningfuture1979_th.jpg
cnr003,,,"University of Idaho: College of Forestry, Wildlife and Range Sciences 1909-1984, an Album","Savage, George; Ashland, Lorraine; Miller, Michal",1984,1984,"An album covering the 75th year history of the College of Natural Resources (formerly known as College of Forestry, Wildlife and Range Sciences), from 1909-1984. ",natural resources; forestry; people in agriculture or natural resource occupations; history (discipline); black-and-white photographs; environmental policy; fisheries; logging; loggers; interviews; wildlife; national parks; women's studies; rangeland; diversity; gardening; nurseries (horticulture); firefighters; obituaries; journals (periodicals); farming (activity or system); nature trails; heroines; sustainability; environmental engineering; sustainable development; conservation organizations; conservation concepts; cultural landscapes/property/heritage; buildings for university or college; college buildings; colleges (institutions); college students; forestry maps; lumber; experiment stations; forest management; forest stations; rangers (forest); building history research; history of conservation; local histories; nurseries (horticulture); environmental art; Southeast Asia; professors (teachers); deans (educators); celebrations; world wars; research (function); research institutes (institutions); bicentennials,,,,"College of Natural Resources collection, UG 92, University of Idaho Library Special Collections and Archives",,record,document,compound_object,,College of Natural Resources collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,compound_object,,https://www.lib.uidaho.edu/digital/objects/cnr/small/ug92_box19_folder231_fullcfwralbum1984_sm.jpg,https://www.lib.uidaho.edu/digital/objects/cnr/thumbs/ug92_box19_folder231_fullcfwralbum1984_th.jpg
cnr004,cnr003,ug92_box19_folder231_fullcfwralbum1984.pdf,"Full Album - University of Idaho: College of Forestry, Wildlife and Range Sciences 1909-1984","Savage, George; Ashland, Lorraine; Miller, Michal",1984,1984,"An album covering the 75th year history of the College of Natural Resources (formerly known as College of Forestry, Wildlife and Range Sciences), from 1909-1984. ",natural resources; forestry; people in agriculture or natural resource occupations; history (discipline); black-and-white photographs; environmental policy; fisheries; logging; loggers; interviews; wildlife; national parks; women's studies; rangeland; diversity; gardening; nurseries (horticulture); firefighters; obituaries; journals (periodicals); farming (activity or system); nature trails; heroines; sustainability; environmental engineering; sustainable development; conservation organizations; conservation concepts; cultural landscapes/property/heritage; buildings for university or college; college buildings; colleges (institutions); college students; forestry maps; lumber; experiment stations; forest management; forest stations; rangers (forest); building history research; history of conservation; local histories; nurseries (horticulture); environmental art; Southeast Asia; professors (teachers); deans (educators); celebrations; world wars; research (function); research institutes (institutions); bicentennials,,,,"College of Natural Resources collection, UG 92, University of Idaho Library Special Collections and Archives",ug92_box19_folder231_cfwralbum1985,Text,document,application/pdf,,College of Natural Resources collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/cnr/ug92_box19_folder231_fullcfwralbum1984.pdf,https://www.lib.uidaho.edu/digital/objects/cnr/small/ug92_box19_folder231_fullcfwralbum1984_sm.jpg,https://www.lib.uidaho.edu/digital/objects/cnr/thumbs/ug92_box19_folder231_fullcfwralbum1984_th.jpg
cnr005,cnr003,ug92_box19_folder231_deanshattuck_cfwralbum1984.pdf,Charles Houston Shattuck 1909-1917 (p.2),,1909,1909-1917,"A biography of Charles Houston Shattuck, the first Head of the Department of Forestry. Almost singlehandedly, Shattuck had created the Department, established its mission, and directed it carefully toward autonomy. This document is part of the chapter ""I. Deans of the College of Forestry, Wildlife and Range Sciences - 1909-1984"" from the University of Idaho: College of Forestry, Wildlife and Range Sciences 1909-1984, an Album.",natural resources; forestry; people in agriculture or natural resource occupations; black-and-white photographs; biography (general genre); local histories; nurseries (horticulture); professors (teachers); deans (educators),,,,"College of Natural Resources collection, UG 92, University of Idaho Library Special Collections and Archives",ug92_box19_folder231_deanshattuck_cfwralbum1984,Text,document,application/pdf,,College of Natural Resources collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/cnr/ug92_box19_folder231_deanshattuck_cfwralbum1984.pdf,https://www.lib.uidaho.edu/digital/objects/cnr/small/ug92_box19_folder231_deanshattuck_cfwralbum1984_sm.jpg,https://www.lib.uidaho.edu/digital/objects/cnr/thumbs/ug92_box19_folder231_deanshattuck_cfwralbum1984_th.jpg
cnr006,cnr003,ug92_box19_folder231_deanmiller_cfwralbum1984.pdf,Francis Garner Miller 1917-1934 (p.3),,1917,1917-1934,"A biography of Francis Garner Miller, the first Dean of the School of Forestry. Alongside growing the School of Forestry from previously being a Department in the College of Agriculture, Miller successfully drew together the forestry interests of the state, the timbermen, stockmen, and the United States Forest Service. This document is part of the chapter ""I. Deans of the College of Forestry, Wildlife and Range Sciences - 1909-1984"" from the University of Idaho: College of Forestry, Wildlife and Range Sciences 1909-1984, an Album.",natural resources; forestry; people in agriculture or natural resource occupations; black-and-white photographs; biography (general genre); local histories; nurseries (horticulture); professors (teachers); deans (educators),,,,"College of Natural Resources collection, UG 92, University of Idaho Library Special Collections and Archives",ug92_box19_folder231_deanmiller_cfwralbum1984,Text,document,application/pdf,,College of Natural Resources collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/cnr/ug92_box19_folder231_deanmiller_cfwralbum1984.pdf,https://www.lib.uidaho.edu/digital/objects/cnr/small/ug92_box19_folder231_deanmiller_cfwralbum1984_sm.jpg,https://www.lib.uidaho.edu/digital/objects/cnr/thumbs/ug92_box19_folder231_deanmiller_cfwralbum1984_th.jpg
cnr007,cnr003,ug92_box19_folder231_deanmcardle_cfwralbum1984.pdf,Richard E. McArdle 1934-1935 (p.4),,1934,1934-1935,"A biography of Richard E. McArdle, the second Dean of the School of Forestry. While only occupying deanship for one year, McArdle is remembered as a ""rough, tough forester,"" and a good, demanding teacher. This document is part of the chapter ""I. Deans of the College of Forestry, Wildlife and Range Sciences - 1909-1984"" from the University of Idaho: College of Forestry, Wildlife and Range Sciences 1909-1984, an Album.",natural resources; forestry; people in agriculture or natural resource occupations; black-and-white photographs; biography (general genre); local histories; professors (teachers); deans (educators),,,,"College of Natural Resources collection, UG 92, University of Idaho Library Special Collections and Archives",ug92_box19_folder231_deanmcardle_cfwralbum1984,Text,document,application/pdf,,College of Natural Resources collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/cnr/ug92_box19_folder231_deanmcardle_cfwralbum1984.pdf,https://www.lib.uidaho.edu/digital/objects/cnr/small/ug92_box19_folder231_deanmcardle_cfwralbum1984_sm.jpg,https://www.lib.uidaho.edu/digital/objects/cnr/thumbs/ug92_box19_folder231_deanmcardle_cfwralbum1984_th.jpg
cnr008,cnr003,ug92_box19_folder231_deanjeffers_cfwralbum1984.pdf,Dwight Smithson Jeffers 1935-1953 (p.5),,1935,1935-1953,"A biography of Dwight Smithson Jeffers, the third Dean of the School of Forestry. Jeffers brought veyr formative years to the College, including the addition of Summer Camp, the Forest, Wildlife and Range Experiment Station, the Idaho Cooperative Wildlife Research Unit, and the beginnings of the fisheries and wildlife programs. He also provided tremendous support to students during and after WWII. This document is part of the chapter ""I. Deans of the College of Forestry, Wildlife and Range Sciences - 1909-1984"" from the University of Idaho: College of Forestry, Wildlife and Range Sciences 1909-1984, an Album.",natural resources; forestry; people in agriculture or natural resource occupations; black-and-white photographs; biography (general genre); local histories; professors (teachers); deans (educators),,,,"College of Natural Resources collection, UG 92, University of Idaho Library Special Collections and Archives",ug92_box19_folder231_deanjeffers_cfwralbum1984,Text,document,application/pdf,,College of Natural Resources collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/cnr/ug92_box19_folder231_deanjeffers_cfwralbum1984.pdf,https://www.lib.uidaho.edu/digital/objects/cnr/small/ug92_box19_folder231_deanjeffers_cfwralbum1984_sm.jpg,https://www.lib.uidaho.edu/digital/objects/cnr/thumbs/ug92_box19_folder231_deanjeffers_cfwralbum1984_th.jpg
cnr009,cnr003,ug92_box19_folder231_deanwohletz_cfwralbum1984.pdf,Ernest W. Wohletz 1953-1971 (p.6),,1953,1953-1971,"A biography of Ernest W. Woheltz, the fourth Dean of the College of Forestry (previously known as the School of Forestry). Woheltz is known for being the Forest, Wildlife and Range Experiment Station's first associate director, as well as fascilitating phenomenal growth to enrollment, funding and the development of a new Forestry building. This document is part of the chapter ""I. Deans of the College of Forestry, Wildlife and Range Sciences - 1909-1984"" from the University of Idaho: College of Forestry, Wildlife and Range Sciences 1909-1984, an Album.",natural resources; forestry; people in agriculture or natural resource occupations; black-and-white photographs; biography (general genre); local histories; professors (teachers); deans (educators),,,,"College of Natural Resources collection, UG 92, University of Idaho Library Special Collections and Archives",ug92_box19_folder231_deanwohletz_cfwralbum1984,Text,document,application/pdf,,College of Natural Resources collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/cnr/ug92_box19_folder231_deanwohletz_cfwralbum1984.pdf,https://www.lib.uidaho.edu/digital/objects/cnr/small/ug92_box19_folder231_deanwohletz_cfwralbum1984_sm.jpg,https://www.lib.uidaho.edu/digital/objects/cnr/thumbs/ug92_box19_folder231_deanwohletz_cfwralbum1984_th.jpg
cnr010,cnr003,ug92_box19_folder231_deanehrenreich_cfwralbum1984.pdf,John H. Ehrenreich 1971-1984 (p.7),,1971,1971-1984,"A biography of John H. Ehrenreich, the fifth Dean of the College of Forestry, Wildlife and Range Sciences (previously known as the College of Forestry). To quote Dixie Ehrenreich, former editor of Women in Natural Resources and the late Dean Ehrenreich's wife, ""John was a mastermind at figuring out what as next."" Dean Ehrenreich successfully implimented a wide breadth of developments to the College, such as the division of the college into departments (1979), the establishments of the Cooperative Park Studies Unit headquarters on campus, Inland Empire Tree Improvement Cooperative, Intermountain Tree Nutrition Cooperative, Clark Fork Field Campus, Wilderness Research Center, International Program, and an FWR Alumni Association. He and his wife Dixie Ehrenreich also encouraged more women to join the College and its administration (see Women in Natural Resources). This document is part of the chapter ""I. Deans of the College of Forestry, Wildlife and Range Sciences - 1909-1984"" from the University of Idaho: College of Forestry, Wildlife and Range Sciences 1909-1984, an Album.",natural resources; forestry; people in agriculture or natural resource occupations; black-and-white photographs; biography (general genre); local histories; professors (teachers); deans (educators); international; diversity; women's studies,,,,"College of Natural Resources collection, UG 92, University of Idaho Library Special Collections and Archives",ug92_box19_folder231_deanehrenreich_cfwralbum1984,Text,document,application/pdf,,College of Natural Resources collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/cnr/ug92_box19_folder231_deanehrenreich_cfwralbum1984.pdf,https://www.lib.uidaho.edu/digital/objects/cnr/small/ug92_box19_folder231_deanehrenreich_cfwralbum1984_sm.jpg,https://www.lib.uidaho.edu/digital/objects/cnr/thumbs/ug92_box19_folder231_deanehrenreich_cfwralbum1984_th.jpg
