objectid,filename,title,creator,description,date,date_is_approximate,subject,source,identifier,digital_source,format_original,format,type,rights,rightsstatement,language,display_template,object_location,image_small,image_thumb,youtubeid
ug13_251_001,ug13_251_001.pdf,Correspondence regarding petitions for Anthropology 158 and Negro History,Ernest W. Hartung,"Letter from President Hartung to Joseph A. Tasby discussing the implementation of two courses, Anthropology 158 and Negro History.",1968-11-01,,Black Studies; History Course,,"UG 13, Box 11, Folder 251",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ug13_251_001.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ug13_251_001_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ug13_251_001_th.jpg,
ug13_251_002,ug13_251_002.pdf,Memorandum regarding petitions for two new courses,Joseph A. Tasby,"Memorandum from Tasby to Hartung concerning petitions presented to Academic Vice President Walter Steffens about Anthropology 158, ""Race Problems,"" and a course about Negro History.",1968-10-24,,Black Studies; Petitions,,"UG 13, Box 11, Folder 251",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ug13_251_002.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ug13_251_002_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ug13_251_002_th.jpg,
ug13_251_003,ug13_251_003.pdf,"Signed petition to offer Anthropology 158, ""Race Problems""",,"Petition for the Department of Anthropology to offer the course listed in the 1967-1969 catalogue as Anthro. 158, ""Race Problems,"" during the Spring Semester to help students and staff better understand the overt and underlying causes of racial problems.",1966,y,Black Studies; Petitions,,"UG 13, Box 11, Folder 251",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ug13_251_003.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ug13_251_003_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ug13_251_003_th.jpg,
ug13_251_004,ug13_251_004.pdf,"Memorandum regarding petitions for ""Negro History"" course.",William S. Greever,Memorandum from William S. Greever to Dr. Steffens concerning rumors of a petition to offer a Negro History. Greever offers a response from the History department staff.,1968-10-15,,Black Studies; History Course,,"UG 13, Box 11, Folder 251",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ug13_251_004.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ug13_251_004_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ug13_251_004_th.jpg,
ug13_251_005,ug13_251_005.pdf,"Memorandum regarding petitions for ""Negro History"" course",Joseph A. Tasby,Memorandum from Joseph A. Tasby to Carlton Iiams concerning petitions to offer Anthropology 158 and a Negro History course.,1968-10-24,,Black Studies; History Course,,"UG 13, Box 11, Folder 251",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ug13_251_005.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ug13_251_005_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ug13_251_005_th.jpg,
ug13_251_006,ug13_251_006.pdf,Memorandum regarding questions about the petition for a Negro History course,Boyd A. Martin,"Memorandum from Boyd A. Martin to H. Walter Steffens concerning questions regarding the ""Negro History"" course.",1968-12-03,,Black Studies; History Course,,"UG 13, Box 11, Folder 251",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ug13_251_006.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ug13_251_006_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ug13_251_006_th.jpg,
ug13_251_007,ug13_251_007.pdf,Memorandum regarding implementation of a Negro History course,William S. Greever,Memorandum from William S. Greever to Dr. Steffens concerning the right of University Curriculum Committee to inquire into his college for the implementation of courses.,1968-11-27,,Black Studies; History Course,,"UG 13, Box 11, Folder 251",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ug13_251_007.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ug13_251_007_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ug13_251_007_th.jpg,
ug13_251_008,ug13_251_008.pdf,"Lewiston Morning Tribune newspaper article, ""More Than Just Feeling Fiercely""",Lewiston Morning Tribune,"Article titled, ""More Than Just Feeling Fiercely,"" about the idea of a black studies program. ",1969-02-17,,Black Studies News Clips,,"UG 13, Box 11, Folder 251",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ug13_251_008.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ug13_251_008_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ug13_251_008_th.jpg,
mg368_f60_002,mg368_f60_002.pdf,Department of History minutes,Siegfried B. Rolland,"Meeting minutes for the history department on February 4, 1970.  Five points of order were the proposal of the ""Negro History"" course, elimination of courses from catalog, course change in Latin America classes, proposal for Middle Eastern course, and optional BS degree in L and S.",1970-02-04,,Black Studies; History Course,,mg368_f60_002,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/mg368_f60_002.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/mg368_f60_002_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/mg368_f60_002_th.jpg,
mg5758_001,mg5758_001.jpg,Portrait of Jennie Eva Hughes [1],,Black and white portrait of Jennie Eva Hughes.,1899,yes,Jennie Eva Hughes,,mg5758_001,,,image/jpeg,image;stillimage,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,image,https://www.lib.uidaho.edu/blackhistory/objects/mg5758_001.jpg,https://www.lib.uidaho.edu/blackhistory/objects/small/mg5758_001_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/mg5758_001_th.jpg,
mg5758_002,mg5758_002.jpg,Portrait of Jennie Eva Hughes [2],,Black and white standing portrait of Jennie Eva Hughes dressed in white. Hughes holds a scroll in her left hand.,1899,yes,Jennie Eva Hughes,,mg5758_002,,,image/jpeg,image;stillimage,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,image,https://www.lib.uidaho.edu/blackhistory/objects/mg5758_002.jpg,https://www.lib.uidaho.edu/blackhistory/objects/small/mg5758_002_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/mg5758_002_th.jpg,
