objectid,filename,headline,title,creator,description,date,date_is_approximate,subject,source,identifier,digital_source,format_original,format,type,rights,rightsstatement,language,display_template,object_location,image_small,image_thumb
arg-1968-02-02_p6-tasby-profile,arg-1968-02-02_p6-tasby-profile.png,"Judge Me First as a Man Says U - I Footballer Tasby,","Judge Me First as a Man Says U - I Footballer Tasby,",Laura Lorton,Argonaut article profiling Joseph Tasby in which Tasby explains some of the difficulties and discrepancies with being a Black student athlete at the University of Idaho in the 1960s. ,1968-02-02,,,The Argonaut,arg-1968-02-02_p6-tasby-profile,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/9917/filename/arg-1968-02-02.pdf,newspaper article,image/jpeg,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,image,https://www.lib.uidaho.edu/digital/objects/blackhistory/arg-1968-02-02_p6-tasby-profile.png,https://www.lib.uidaho.edu/digital/objects/blackhistory/small/arg-1968-02-02_p6-tasby-profile_sm.jpg,https://www.lib.uidaho.edu/digital/objects/blackhistory/thumbs/arg-1968-02-02_p6-tasby-profile_th.jpg
arg1968-11-22_p2-kimbrel-letter,arg1968-11-22_p2-kimbrel-letter.pdf,Letter to the Editor,Letter to the Editor,Alabama' Gene Kimbrel,"Letter to the editor responding to Josephy Tasby Argonaut Column complaining about individuals listed in Tasby's column, including Dr. Martin Luther King, and admonishing Tasby to focus on what can be done rather than creating a 'martyr image' while admitting his family members' membership in the klu klux klan. ",1968-11-22,,,The Argonaut,arg1968-11-22_p2-kimbrel-letter,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/3399/filename/arg-1968-11-22.pdf,newspaper article,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,image,https://www.lib.uidaho.edu/digital/objects/blackhistory/arg1968-11-22_p2-kimbrel-letter.pdf,https://www.lib.uidaho.edu/digital/objects/blackhistory/small/arg1968-11-22_p2-kimbrel-letter_sm.jpg,https://www.lib.uidaho.edu/digital/objects/blackhistory/thumbs/arg1968-11-22_p2-kimbrel-letter_th.jpg
arg-1967-04-11_p2-tasby-sonnet,arg-1967-04-11_p2-tasby-sonnet.pdf,"Sonnet: ""On Prejudice""","Sonnet: ""On Prejudice""",Joseph A. Tasby,"Sonnet poem titled, ""On Prejudice"" by Joseph A. Tasby featured in the Argonaut.",1967-04-11,,Joseph A. Tasby; ,The Argonaut,arg-1967-04-11_p2-tasby-sonnet,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/3326/filename/arg-1967-04-11.pdf,newspaper article,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,image,https://www.lib.uidaho.edu/digital/objects/blackhistory/arg-1967-04-11_p2-tasby-sonnet.pdf,https://www.lib.uidaho.edu/digital/objects/blackhistory/small/arg-1967-04-11_p2-tasby-sonnet_sm.jpg,https://www.lib.uidaho.edu/digital/objects/blackhistory/thumbs/arg-1967-04-11_p2-tasby-sonnet_th.jpg
arg-1968-09-24_p2-tasby-darkerside,arg-1968-09-24_p2-tasby-darkerside.pdf,"""The Darker Side"" - September 24th, 1968","""The Darker Side"" - September 24th, 1968",Joseph A. Tasby,"Column titled by Joseph Tasby and published in the September 24, 1968 issue of the Argonaut. Tasby writes about his observations on the campus culture and racial divisions.",1968-09-24,,Joseph A. Tasby; ,The Argonaut,arg-1968-09-24_p2-tasby-darkerside,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/3371/filename/arg-1968-09-24.pdf,newspaper article,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,image,https://www.lib.uidaho.edu/digital/objects/blackhistory/arg-1968-09-24_p2-tasby-darkerside.pdf,https://www.lib.uidaho.edu/digital/objects/blackhistory/small/arg-1968-09-24_p2-tasby-darkerside_sm.jpg,https://www.lib.uidaho.edu/digital/objects/blackhistory/thumbs/arg-1968-09-24_p2-tasby-darkerside_th.jpg
arg-1968-10-15_p2-tasby-darkerside,arg-1968-10-15_p2-tasby-darkerside.pdf,"""The Darker Side"" -  October 15th, 1968","""The Darker Side"" -  October 15th, 1968",Joseph A. Tasby,"Column titled by Joseph Tasby and published in the October 15, 1968 issue of the Argonaut. Tasby writes about Homecoming and information about the disparities between non-white and white workers.",1968-10-15,,Joseph A. Tasby; ,The Argonaut,arg-1968-10-15_p2-tasby-darkerside,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/3405/filename/arg-1968-10-15,newspaper article,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,image,https://www.lib.uidaho.edu/digital/objects/blackhistory/arg-1968-10-15_p2-tasby-darkerside.pdf,https://www.lib.uidaho.edu/digital/objects/blackhistory/small/arg-1968-10-15_p2-tasby-darkerside_sm.jpg,https://www.lib.uidaho.edu/digital/objects/blackhistory/thumbs/arg-1968-10-15_p2-tasby-darkerside_th.jpg
arg-1968-10-18_p2-whithed-letter,arg-1968-10-18_p2-whithed-letter.pdf,"Letter to the Editor: ""Writer lauds Tasby"" ","Letter to the Editor: ""Writer lauds Tasby"" ",Houghton H. Whithed,Letter to the editor by Houghton H. Whithed responding to Joseph Tasby's column with mixed reactions and opinions on Tasby and his writing.,1968-10-18,,Joseph A. Tasby; ,The Argonaut,arg-1968-10-18_p2-whithed-letter,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/3394/filename/arg-1968-10-18,newspaper article,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,image,https://www.lib.uidaho.edu/digital/objects/blackhistory/arg-1968-10-18_p2-whithed-letter.pdf,https://www.lib.uidaho.edu/digital/objects/blackhistory/small/arg-1968-10-18_p2-whithed-letter_sm.jpg,https://www.lib.uidaho.edu/digital/objects/blackhistory/thumbs/arg-1968-10-18_p2-whithed-letter_th.jpg
arg-1968-10-22_p2-tasby-darkerside,arg-1968-10-22_p2-tasby-darkerside.pdf,"""The Darker Side"" - October 22nd, 1968 ","""The Darker Side"" - October 22nd, 1968 ",Joseph A. Tasby,"Column by Joseph Tasby and published in the October 22, 1968 issue of the Argonaut. Tasby writes about hypocritical Christians, events on campus approaching Christmas, and his thoughts on the National Anthem.",1968-10-22,,Joseph A. Tasby; ,The Argonaut,arg-1968-10-22_p2-tasby-darkerside,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/3393/filename/arg-1968-10-22,newspaper article,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,image,https://www.lib.uidaho.edu/digital/objects/blackhistory/arg-1968-10-22_p2-tasby-darkerside.pdf,https://www.lib.uidaho.edu/digital/objects/blackhistory/small/arg-1968-10-22_p2-tasby-darkerside_sm.jpg,https://www.lib.uidaho.edu/digital/objects/blackhistory/thumbs/arg-1968-10-22_p2-tasby-darkerside_th.jpg
arg-1968-11-05_p2-gibbens-letter,arg-1968-11-05_p2-gibbens-letter.pdf,"Letter to the Editor: ""The 'not so dark' side""","Letter to the Editor: ""The 'not so dark' side""",Ed Gibbens,"Letter to the editor by Ed Gibbens responding to Joseph Tasby's column in which Gibbens proposes a ""'not-so-dark' side"" and argues that not all ""white Americans are bigots."" Gibbens acknowledges ""case[s] of white bigotry"" on campus, but presents examples that presumably show acceptance and varied Black experiences.",1968-11-05,,Joseph A. Tasby; ,The Argonaut,arg-1968-11-05_p2-gibbens-letter,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/3395/filename/arg-1968-11-05,newspaper article,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,image,https://www.lib.uidaho.edu/digital/objects/blackhistory/arg-1968-11-05_p2-gibbens-letter.pdf,https://www.lib.uidaho.edu/digital/objects/blackhistory/small/arg-1968-11-05_p2-gibbens-letter_sm.jpg,https://www.lib.uidaho.edu/digital/objects/blackhistory/thumbs/arg-1968-11-05_p2-gibbens-letter_th.jpg
arg-1968-11-05_p2-tasby-darkerside,arg-1968-11-05_p2-tasby-darkerside.pdf,"""The Darker Side - November 5th, 1968","""The Darker Side - November 5th, 1968",Joseph A. Tasby,Column by Joseph Tasby. ,1968-11-05,,Joseph A. Tasby; ,The Argonaut,arg-1968-11-05_p2-tasby-darkerside,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/3395/filename/arg-1968-11-05,newspaper article,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,image,https://www.lib.uidaho.edu/digital/objects/blackhistory/arg-1968-11-05_p2-tasby-darkerside.pdf,https://www.lib.uidaho.edu/digital/objects/blackhistory/small/arg-1968-11-05_p2-tasby-darkerside_sm.jpg,https://www.lib.uidaho.edu/digital/objects/blackhistory/thumbs/arg-1968-11-05_p2-tasby-darkerside_th.jpg
arg-1968-11-05_p2-veterans-letter,arg-1968-11-05_p2-veterans-letter.pdf,"Letter to the Editor: ""Veterans refute Tasby""","Letter to the Editor: ""Veterans refute Tasby""",Ed Smith; Steve Nafus; Charles B. Jones,"Letter to the Editor from the ""Veterans"" responding to Joseph Tasby's column. ",1968-11-05,,Joseph A. Tasby; ,The Argonaut,arg-1968-11-05_p2-veterans-letter,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/3395/filename/arg-1968-11-05,newspaper article,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,image,https://www.lib.uidaho.edu/digital/objects/blackhistory/arg-1968-11-05_p2-veterans-letter.pdf,https://www.lib.uidaho.edu/digital/objects/blackhistory/small/arg-1968-11-05_p2-veterans-letter_sm.jpg,https://www.lib.uidaho.edu/digital/objects/blackhistory/thumbs/arg-1968-11-05_p2-veterans-letter_th.jpg
