timestamp,speaker,,tags
,Kodjotse Afatchao,,
,Interviewer,Please state your name and your title or role at UI.,
,KA,"Official name Kodjotse Afatchao, but I’m known as Ro Afatchao or Romuald Afatchao. I’m a Clinical Professor and I’m Associate Director of the Martin Institute and program of International Studies.",
,IN,"What is your ethnicity or race? Do you identify as African-American, African, Caribbean, etc.?",
,KA,"I'm an African American. African dash American. I'm an African originally, but now I'm a US citizen, so that’s how I identify. African-American, so either work for me.",
,IN,Where are you from?,
,KA,"I'm originally from Togo, a small country in West Africa.",
,IN,What brought you to UI?,
,KA,I came here in 2001 to go to grad school. I actually got my doctorate from UI. Then after I got a job and I stayed.,
,IN,Have you had any previous experiences that you feel prepared you for UI?,
,KA,"Yes and no. So the yes part is that before coming here I had some experience in France, which is, although over there you have a lot of black folks for sure. Nothing could really prepare you for this experience. In fact, I had family members who basically tried to prevent me from coming to Idaho in early 2000 because they just had that incident in northern Idaho with the Aryan Nations. ",idaho;family
,KA,"So when I came to the United States my first spot that I landed was in Philadelphia. I had a cousin there at that time. I came there even though I was coming to Idaho because I got admission for Idaho; so I was coming for Idaho. I spent two weeks with my cousin in Philadelphia and they told me how bad it was here, and people were very scared for me. I didn't know what I was getting into. I was really positively surprised because when I got into town, Moscow is like this bubble. So, I think that’s why I stayed after all these years. The community is great.",moscow;idaho;community
,IN,Was it a tough transition moving to Moscow since it’s predominantly white?,
,KA,"Of course. My experience was even worse than that. Nervous wouldn't even begin to describe it because with all that in mind, people telling me how bad it was here, and then my cousin put me onto Greyhound bus to make the three day trip here and for some reason, I don't even know if he didn't have any idea about how distance time works, how far Idaho was. He told me it would take six hours to get here.",idaho
,KA," I left Philadelphia at 6pm on a Sunday and I didn’t get here until Wednesday at 2pm. So, when I came here, I was tired, you name it. I quote on quote lost my bag in Billings, Montana at the bus station there. I had a buddy on the bus, we met on the bus, we both checked a locker at the bus station to lock our bag before we went into town to go eat. But then this guy had the key and disappeared on me. Then I came here without my bag. The next day he came to the hotel because I told him the hotel I was going to be staying at and he dropped the bag off.",
,IN,Do you feel like you'll stay in this community for a long time? Why or why not?,
,KA,"Okay, so, yes and maybe not. So yes because I love the community. My son was born here, my wife likes this community, my wife is from Togo as well, but she doesn't want to go anywhere but here. She came, she joined me a year and a half after I got here. With that in mind, my family has their roots here now. My son, all he knows is that this is home for him. He’s 14 now. He started everything, all of his friends are here, everything for him is here. When we travel back home these days, he doesn't want to go. For him it’s not home, so I have that. I've started engaging folks over there, as well. I travel there a lot there now.",community;family
