timestamp,speaker,words,tags
,Aman McLeod,,
,Interviewer,Please state your name and your title or role at UI.,
,AM,I’m Aman McLeod. I'm an Assistant Professor of Political Science and I'm Affiliated Faculty at the College of Law and I'm also the Pre-Law advisor.,faculty
,IN,"What is your ethnicity or race? Do you identify as African-American, African, Caribbean, etc.?",
,AM,I identify as African-American.,
,IN,Where are you from?,
,AM,"I was born right outside of Washington D.C. in Chevrolet, Maryland. It’s a suburb of Washington. I grew up in and around Washington D.C.",
,IN,What brought you to UI?,
,AM,"A job. An opportunity for a visiting position at the Law School came up and the Dean thought I was a good fit and he brought me on. Then, while I was here that first year I got asked to help build the pre-law program and I did that. I started teaching a couple of classes in political science and then when a tenure track position came up in Political Science after 3 years they took me on there. The Law School also kept me on as Affiliated faculty. So that’s why I’m over in Poli-Sci, but I still teach over there sometimes.",faculty
,IN,Have you had any previous experiences that you feel prepared you for UI?,
,AM,"Well, I taught right out of graduate school and while I was in graduate school I taught at a Polish university. And when I finished my PhD, I taught at the University of Michigan for a year. Then as a visitor and then I was at Rutgers University in Camden for 7 years teaching at the Law School and Political Science there. Then I was at the Forte Coastal School of Law for a year. I feel like I had a lot of experience before I came here.",
,IN,Was it a tough transition moving to Moscow since it’s predominantly white?,
,AM,"No, not really because I guess I'm used to living in spaces where I'm very much a minority. All through school that was the case, then I lived in Poland, which very few people who live in that country are anything other than Polish or Roman Catholic and all that. I navigated that. Being part of a small minority is something I've never really concerned myself with. That doesn't bother me. I remember getting phone calls from friends and emails saying, when I told them I was coming out here, saying, “Hey, are you going to be okay?” The legacy of the white supremacist presence, in North Idaho especially, people remember. But I tell people that I haven't had any problems up here.",idaho;friends
,IN,Do you feel like you'll stay in this community for a long time? Why or why not?,
,AM,"It’s probably right now the best professional opportunity for me. I don't have any plans to leave at the moment. I'm enjoying it quite a bit. I've got great colleagues, the department has treated me awesome, it’s a really great work environment. I've got no plans to check out. I guess I'm one of those people that as long as everything’s working I'm here. I have no idea what 10 years is going to be. Everything is working great right now and I have no plans to check out.",
,IN,Did you bring family with you?,
,AM,I did. I have a wife and a 12 year old son and a 9 year old daughter.,
,IN,Have you built any strong relationships with any other black people or faculty at UI?,
,AM,"I think I have good relations with many of the faculty of color. So, including Dr. Freeman. So, I don't know anyone I don't consider good colleagues or friends. The only ones I don't consider friends are the ones I don't know very well, because I haven't met them. I feel like I do, absolutely.",faculty;friends
