timestamp,speaker,words,tags
,Hassel Morrison,,
,Interviewer,What is your name and what was your position at the University of Idaho?,
,HM,"My name is Dr Hassel Andre Morrison, I am, well, when I was at the University of Idaho I was the Associate Dean of Students.",
,IN,And what is your current position at St. Olaf’s?,
,HM,Currently I am the Vice President for Student Life at St. Olaf College.,
,IN,In terms of race and ethnicity how do you identify?,
,HM,"Black or African-American, however, I prefer Black.",
,IN,Where are you originally from?,
,HM,"I was born in Eden, North Carolina and grew up in Cascade, Virginia.",
,IN,Where did you go to College?,
,HM,"I received my bachelors of science from Radford University. I received my Masters from Virginia State University, and I received my Doctorate from North Carolina State University.",
,IN,How did you end up at the University of Idaho?,
,HM,"Career trajectory wise, I was looking for the opportunity to get more experience, a broader portfolio, and also an opportunity to challenge myself by being in an unfamiliar environment. I often encourage students and new employees to challenge themselves by being okay with being uncomfortable. I decided to be uncomfortable and go to a place that I wasn't familiar with. So it was an awesome adventure and it was an opportunity for me while also working on advancing my career.",students
,IN,How long have you been an administrator at the University of Idaho?,
,HM,So I started at the University of Idaho in 2015 and I was there until 2018.,
,IN,How has the climate of the University changed since you first arrived?,
,HM,"The town of Moscow was quaint, and it was very friendly, when I was there and the people were kind to me and my family. As far as the University, I really enjoyed interacting with people, overall they were nice, kind and very supportive. I really enjoyed Moscow as well as the University environment. As far as the diversity, it wasn't really diverse. It was lacking in race diversity, and culture, so that was a little bit of a challenge for me and my family. We were active in the community through Girl Scouts, which was a tremendous resource. My daughters were often the only Black people in all of their classes, I was often the only Black person in meetings, and my wife often the only Black person in community organizations.",moscow;race;family;diversity
,IN,Has the University of Idaho been supportive of your contributions to your field?,
,HM,"Yes I think it was, for the most part. I think people were supportive of ideas and different initiatives that I wanted to accomplish.",
,IN,What do you feel is your biggest contribution to the university?,
,HM,"Oh wow, I think one of the things that I am most proud of is helping students with economic, health, and hope challenges. Also, I am proud of the staff that I selected to work at the university. I think that they were really good additions to the division of student affairs. There are several staff members that are still there that I selected, they are doing great work at the university and the students are benefiting greatly.  So I am excited about my ability to have come there and be thoughtful with the people that I selected and then they were able to carry out “student first” programs and initiatives. They are were better positioned to ensure student success.",students
,IN,What are some of the struggles you have faced during your time at the University of Idaho?,
,HM,"I think that some of the struggles or one of the things I would often get concerned about was the ability to recruit and retain staff of color, specifically black staff. I think the university does well with the selection and recruitment of native and Latinx staff. I do wish that we did more to recruit and retain African-Americans. Likewise recruiting Black international students and athletes are important, however I think that just tells a limited perspective of who Black people are and we do have Black people who are athletes, who major in STEM, and who might be interested in poetry or might be outdoors enthusiast. A part of student success is a matter of trying to help people see themselves at the university, so one of the things I always wanted to know was how the university could advance itself in making sure that all students feel like they belong or they can see themselves there.",students
,IN,Have you experienced any positive experiences related to your race while at the University?,
,HM,"The Lionel Hampton Jazz festival was always a wonderful event. I really enjoyed that experience and being one with the performers, faculty, staff and students. . I am a percussionist, so the fact that a school in the Pacific Northwest hosted a nationally well-known jazz festival named after an African-American Jazz legend was astonishing!  Also, as an educator, in my role as Associate Dean, I felt a deep commitment to support Black students on campus and I embraced the responsibility of being a cultural informant for faculty, students and staff that were curious about Blacks and African-Americans.",race;faculty;students
,IN,Have you had positive experiences and relationships with other black people at the University or in the city of Moscow?,
,HM,"Oh yeah so, so as far as the staff is concerned, it was very personable. It wouldn't be odd for someone to ask you, “Hey want to go get a cup of coffee,” or, we might go to one of the local breweries, after work, it was a very nice environment. Also I felt like there were a lot of staff and faculty who really cared about the well-being of students in regards to wanting them to feel that they have a good experience at the university. I had good connectivity with staff they connected me with resources in the community about things I could do that would appeal to families.",faculty;students
,IN,Is there anyone in particular that you have kept in touch with?,
,HM,"Yes, Blaine Eckles, he is the Vice Provost for Student Affairs there, so I have kept in touch with him. I have also kept in touch with Cari, Jean, and Emilie and others from the Dean of students office. I have been in touch with other Black staff that have moved on to other colleges and universities, I talk to them about once a month.",students
,IN,"I recently spoke with Jessica Samuels and she actually told me you would be someone good to talk to about the BSU, what was your experience like regarding the Black Student Union while you were here?",
